,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),Average Running Time (Mins),,,,
Bakerloo ,Southbound,BAKER STREET,REGENTS PARK,1.68,2.00,2.00,1.89,,,,
Bakerloo ,Southbound,REGENTS PARK,OXFORD CIRCUS,1.85,2.00,2.00,1.95,,,,
Bakerloo ,Southbound,OXFORD CIRCUS,PICCADILLY CIRCUS,1.95,2.48,2.48,2.31,,,,
Bakerloo ,Southbound,PICCADILLY CIRCUS,CHARING CROSS,1.35,1.50,1.50,1.45,,,,
Bakerloo ,Southbound,CHARING CROSS,EMBANKMENT,0.95,1.50,1.50,1.32,,,,
Bakerloo ,Northbound,EMBANKMENT,CHARING CROSS,0.97,1.00,1.00,0.99,,,,
Bakerloo ,Northbound,CHARING CROSS,PICCADILLY CIRCUS,1.60,2.00,2.00,1.87,,,,
Bakerloo ,Northbound,PICCADILLY CIRCUS,OXFORD CIRCUS,2.02,2.19,2.19,2.13,,,,
Bakerloo ,Northbound,OXFORD CIRCUS,REGENTS PARK,1.72,2.00,2.00,1.91,,,,
Bakerloo ,Northbound,REGENTS PARK,BAKER STREET,1.65,2.00,2.00,1.88,,,,
Central ,Eastbound,SHEPHERDS BUSH,HOLLAND PARK,1.37,1.75,1.75,1.62,,,,
Central ,Eastbound,HOLLAND PARK,NOTTING HILL GATE,1.08,1.50,1.50,1.36,,,,
Central ,Eastbound,NOTTING HILL GATE,QUEENSWAY,1.17,1.50,1.50,1.39,,,,
Central ,Eastbound,QUEENSWAY,LANCASTER GATE,1.35,1.50,1.50,1.45,,,,
Central ,Eastbound,LANCASTER GATE,MARBLE ARCH,1.92,2.71,2.50,2.38,,,,
Central ,Eastbound,MARBLE ARCH,BOND STREET,1.00,1.25,1.25,1.17,,,,
Central ,Eastbound,BOND STREET,OXFORD CIRCUS,1.10,1.50,1.50,1.37,,,,
Central ,Eastbound,OXFORD CIRCUS,TOTTENHAM COURT ROAD,0.98,1.50,1.50,1.33,,,,
Central ,Eastbound,TOTTENHAM COURT ROAD,HOLBORN,1.63,2.21,2.01,1.95,,,,
Central ,Eastbound,HOLBORN,CHANCERY LANE,0.87,1.00,1.00,0.96,,,,
Central ,Eastbound,CHANCERY LANE,ST PAULS,1.52,2.00,2.00,1.84,,,,
Central ,Eastbound,ST PAULS,BANK,1.62,2.00,2.00,1.87,,,,
Central ,Eastbound,BANK,LIVERPOOL STREET,1.62,2.25,2.25,2.04,,,,
Central ,Westbound,LIVERPOOL STREET,BANK,1.65,2.00,2.00,1.88,,,,
Central ,Westbound,BANK,ST PAULS,1.63,2.00,2.00,1.88,,,,
Central ,Westbound,ST PAULS,CHANCERY LANE,1.52,1.75,1.75,1.67,,,,
Central ,Westbound,CHANCERY LANE,HOLBORN,0.85,1.46,1.25,1.19,,,,
Central ,Westbound,HOLBORN,TOTTENHAM COURT ROAD,1.38,1.75,1.75,1.63,,,,
Central ,Westbound,TOTTENHAM COURT ROAD,OXFORD CIRCUS,1.02,1.50,1.50,1.34,,,,
Central ,Westbound,OXFORD CIRCUS,BOND STREET,1.03,1.25,1.25,1.18,,,,
Central ,Westbound,BOND STREET,MARBLE ARCH,1.02,1.66,1.50,1.39,,,,
Central ,Westbound,MARBLE ARCH,LANCASTER GATE,1.62,2.00,2.00,1.87,,,,
Central ,Westbound,LANCASTER GATE,QUEENSWAY,1.65,1.75,1.75,1.72,,,,
Central ,Westbound,QUEENSWAY,NOTTING HILL GATE,1.18,1.50,1.50,1.39,,,,
Central ,Westbound,NOTTING HILL GATE,HOLLAND PARK,1.18,1.50,1.50,1.39,,,,
Central ,Westbound,HOLLAND PARK,SHEPHERDS BUSH,1.52,1.75,1.75,1.67,,,,
Victoria,Southbound,WALTHAMSTOW CENTRAL,BLACKHORSE ROAD,2.12,2.00,2.00,2.04,,,,
Victoria,Southbound,BLACKHORSE ROAD,TOTTENHAM HALE,1.90,2.36,2.00,2.09,,,,
Victoria,Southbound,TOTTENHAM HALE,SEVEN SISTERS,2.00,2.77,3.28,2.68,,,,
Victoria,Southbound,SEVEN SISTERS,FINSBURY PARK,3.77,4.00,4.00,3.92,,,,
Victoria,Southbound,FINSBURY PARK,HIGHBURY & ISLINGTON,2.90,2.89,2.55,2.78,,,,
Victoria,Southbound,HIGHBURY & ISLINGTON,KINGS CROSS & ST PANCRAS INTERNATIONAL,2.77,3.50,3.50,3.26,,,,
Victoria,Southbound,KINGS CROSS & ST PANCRAS INTERNATIONAL,EUSTON,1.32,1.92,1.50,1.58,,,,
Victoria,Southbound,EUSTON,WARREN STREET,1.30,1.50,1.50,1.43,,,,
Victoria,Southbound,WARREN STREET,OXFORD CIRCUS,1.72,2.44,2.00,2.05,,,,
Victoria,Southbound,OXFORD CIRCUS,GREEN PARK,1.78,2.00,2.04,1.94,,,,
Victoria,Southbound,GREEN PARK,VICTORIA,1.88,2.50,2.54,2.31,,,,
Victoria,Southbound,VICTORIA,PIMLICO,1.83,2.00,2.00,1.94,,,,
Victoria,Southbound,PIMLICO,VAUXHALL,1.40,1.50,1.54,1.48,,,,
Victoria,Southbound,VAUXHALL,STOCKWELL,2.30,2.94,2.52,2.59,,,,
Victoria,Southbound,STOCKWELL,BRIXTON,2.03,2.50,2.50,2.34,,,,
Victoria,Northbound,BRIXTON,STOCKWELL,2.18,2.45,2.00,2.21,,,,
Victoria,Northbound,STOCKWELL,VAUXHALL,2.23,2.50,2.50,2.41,,,,
Victoria,Northbound,VAUXHALL,PIMLICO,1.37,1.50,1.50,1.46,,,,
Victoria,Northbound,PIMLICO,VICTORIA,2.18,2.97,2.51,2.55,,,,
Victoria,Northbound,VICTORIA,GREEN PARK,1.95,2.00,2.00,1.98,,,,
Victoria,Northbound,GREEN PARK,OXFORD CIRCUS,1.97,2.47,2.02,2.16,,,,
Victoria,Northbound,OXFORD CIRCUS,WARREN STREET,1.53,2.48,2.04,2.02,,,,
Victoria,Northbound,WARREN STREET,EUSTON,1.32,1.50,1.50,1.44,,,,
Victoria,Northbound,EUSTON,KINGS CROSS & ST PANCRAS INTERNATIONAL,1.35,2.00,2.00,1.78,,,,
Victoria,Northbound,KINGS CROSS & ST PANCRAS INTERNATIONAL,HIGHBURY & ISLINGTON,2.87,3.00,3.00,2.96,,,,
Victoria,Northbound,HIGHBURY & ISLINGTON,FINSBURY PARK,2.40,2.97,2.56,2.65,,,,
Victoria,Northbound,FINSBURY PARK,SEVEN SISTERS,4.25,5.34,5.76,5.12,,,,
Victoria,Northbound,SEVEN SISTERS,TOTTENHAM HALE,1.60,1.50,1.50,1.53,,,,
Victoria,Northbound,TOTTENHAM HALE,BLACKHORSE ROAD,1.97,2.50,2.50,2.32,,,,
Victoria,Northbound,BLACKHORSE ROAD,WALTHAMSTOW CENTRAL,2.12,2.04,2.01,2.06,,,,
Jubilee ,Eastbound,STANMORE,CANONS PARK,1.95,2.00,2.00,1.98,,,,
Jubilee ,Eastbound,CANONS PARK,QUEENSBURY,1.93,2.50,2.50,2.31,,,,
Jubilee ,Eastbound,QUEENSBURY,KINGSBURY,1.72,2.00,2.00,1.91,,,,
Jubilee ,Eastbound,KINGSBURY,WEMBLEY PARK,3.47,4.73,4.56,4.25,,,,
Jubilee ,Eastbound,WEMBLEY PARK,NEASDEN,2.60,3.03,3.01,2.88,,,,
Jubilee ,Eastbound,NEASDEN,DOLLIS HILL,1.43,1.50,1.50,1.48,,,,
Jubilee ,Eastbound,DOLLIS HILL,WILLESDEN GREEN,1.80,2.11,2.14,2.02,,,,
Jubilee ,Eastbound,WILLESDEN GREEN,KILBURN,1.68,2.00,2.00,1.89,,,,
Jubilee ,Eastbound,KILBURN,WEST HAMPSTEAD,1.63,2.50,2.00,2.04,,,,
Jubilee ,Eastbound,WEST HAMPSTEAD,FINCHLEY ROAD,1.25,1.50,1.50,1.42,,,,
Jubilee ,Eastbound,FINCHLEY ROAD,SWISS COTTAGE,1.18,1.50,1.50,1.39,,,,
Jubilee ,Eastbound,SWISS COTTAGE,ST JOHNS WOOD,1.52,2.00,2.00,1.84,,,,
Jubilee ,Eastbound,ST JOHNS WOOD,BAKER STREET,2.77,3.50,3.50,3.26,,,,
Jubilee ,Eastbound,BAKER STREET,BOND STREET,2.10,2.50,2.50,2.37,,,,
Jubilee ,Eastbound,BOND STREET,GREEN PARK,1.78,2.50,2.50,2.26,,,,
Jubilee ,Eastbound,GREEN PARK,WESTMINSTER,1.87,2.50,2.50,2.29,,,,
Jubilee ,Eastbound,WESTMINSTER,WATERLOO,1.38,2.00,2.00,1.79,,,,
Jubilee ,Eastbound,WATERLOO,SOUTHWARK,1.02,1.00,1.00,1.01,,,,
Jubilee ,Eastbound,SOUTHWARK,LONDON BRIDGE,1.65,2.50,2.50,2.22,,,,
Jubilee ,Eastbound,LONDON BRIDGE,BERMONDSEY,2.25,2.50,2.50,2.42,,,,
Jubilee ,Eastbound,BERMONDSEY,CANADA WATER,1.48,2.00,2.00,1.83,,,,
Jubilee ,Eastbound,CANADA WATER,CANARY WHARF,2.50,3.00,3.02,2.84,,,,
Jubilee ,Eastbound,CANARY WHARF,NORTH GREENWICH,2.23,3.19,3.49,2.97,,,,
Jubilee ,Eastbound,NORTH GREENWICH,CANNING TOWN,2.15,2.50,2.50,2.38,,,,
Jubilee ,Eastbound,CANNING TOWN,WEST HAM,2.15,2.93,2.58,2.55,,,,
Jubilee ,Eastbound,WEST HAM,STRATFORD,3.15,4.90,3.77,3.94,,,,
Jubilee ,Westbound,STRATFORD,WEST HAM,2.42,3.50,3.12,3.01,,,,
Jubilee ,Westbound,WEST HAM,CANNING TOWN,2.13,2.50,2.50,2.38,,,,
Jubilee ,Westbound,CANNING TOWN,NORTH GREENWICH,2.17,3.07,2.99,2.74,,,,
Jubilee ,Westbound,NORTH GREENWICH,CANARY WHARF,1.98,2.55,2.50,2.34,,,,
Jubilee ,Westbound,CANARY WHARF,CANADA WATER,2.63,3.00,3.00,2.88,,,,
Jubilee ,Westbound,CANADA WATER,BERMONDSEY,1.52,2.00,2.00,1.84,,,,
Jubilee ,Westbound,BERMONDSEY,LONDON BRIDGE,2.17,2.50,2.50,2.39,,,,
Jubilee ,Westbound,LONDON BRIDGE,SOUTHWARK,1.77,2.00,2.00,1.92,,,,
Jubilee ,Westbound,SOUTHWARK,WATERLOO,0.97,1.50,1.50,1.32,,,,
Jubilee ,Westbound,WATERLOO,WESTMINSTER,1.43,2.44,2.01,1.96,,,,
Jubilee ,Westbound,WESTMINSTER,GREEN PARK,1.82,2.00,2.01,1.94,,,,
Jubilee ,Westbound,GREEN PARK,BOND STREET,1.82,2.50,2.50,2.27,,,,
Jubilee ,Westbound,BOND STREET,BAKER STREET,2.28,2.50,2.50,2.43,,,,
Jubilee ,Westbound,BAKER STREET,ST JOHNS WOOD,2.85,3.50,3.50,3.28,,,,
Jubilee ,Westbound,ST JOHNS WOOD,SWISS COTTAGE,1.52,1.50,1.50,1.51,,,,
Jubilee ,Westbound,SWISS COTTAGE,FINCHLEY ROAD,1.18,2.00,2.00,1.73,,,,
Jubilee ,Westbound,FINCHLEY ROAD,WEST HAMPSTEAD,1.20,1.50,1.51,1.40,,,,
Jubilee ,Westbound,WEST HAMPSTEAD,KILBURN,1.55,2.00,2.00,1.85,,,,
Jubilee ,Westbound,KILBURN,WILLESDEN GREEN,2.07,2.32,2.22,2.20,,,,
Jubilee ,Westbound,WILLESDEN GREEN,DOLLIS HILL,1.67,2.00,2.00,1.89,,,,
Jubilee ,Westbound,DOLLIS HILL,NEASDEN,1.38,1.62,1.50,1.50,,,,
Jubilee ,Westbound,NEASDEN,WEMBLEY PARK,2.65,3.76,3.53,3.32,,,,
Jubilee ,Westbound,WEMBLEY PARK,KINGSBURY,3.47,4.00,4.00,3.82,,,,
Jubilee ,Westbound,KINGSBURY,QUEENSBURY,1.85,2.00,2.00,1.95,,,,
Jubilee ,Westbound,QUEENSBURY,CANONS PARK,2.23,2.50,2.50,2.41,,,,
Jubilee ,Westbound,CANONS PARK,STANMORE,2.87,3.24,3.09,3.07,,,,
Northern ,Southbound,WARREN STREET,GOODGE STREET,1.07,1.50,1.50,1.36,,,,
Northern ,Southbound,GOODGE STREET,TOTTENHAM COURT ROAD,1.32,1.73,1.50,1.51,,,,
Northern ,Southbound,TOTTENHAM COURT ROAD,LEICESTER SQUARE,0.98,1.00,1.00,0.99,,,,
Northern ,Southbound,LEICESTER SQUARE,CHARING CROSS,1.20,1.99,1.50,1.56,,,,
Northern ,Southbound,CHARING CROSS,EMBANKMENT,0.80,1.00,1.00,0.93,,,,
Northern ,Northbound,EMBANKMENT,CHARING CROSS,0.87,1.26,1.00,1.04,,,,
Northern ,Northbound,CHARING CROSS,LEICESTER SQUARE,1.17,1.50,1.50,1.39,,,,
Northern ,Northbound,LEICESTER SQUARE,TOTTENHAM COURT ROAD,1.03,1.50,1.50,1.34,,,,
Northern ,Northbound,TOTTENHAM COURT ROAD,GOODGE STREET,1.28,1.50,1.50,1.43,,,,
Northern ,Northbound,GOODGE STREET,WARREN STREET,1.07,1.50,1.50,1.36,,,,
Piccadilly ,Eastbound,GLOUCESTER ROAD,SOUTH KENSINGTON,1.28,1.50,1.50,1.43,,,,
Piccadilly ,Eastbound,SOUTH KENSINGTON,KNIGHTSBRIDGE,2.48,3.00,3.00,2.83,,,,
